ID; Name; Logical_Name
16084;Passed;list_node.run_status.passed
16090;Passed;list_node.run_native_status.passed
16095;Validate;list_node.manual_test_run_step_type.validate
16100;None;list_node.pipeline_classification.none
16108;Scrum;list_node.release_agile_type.scrum
16111;Not automated;list_node.automation_status.not_automated
16116;Research;list_node.task_item_type.research
16122;Continuously Failing;list_node.run_problem.continuously_failing
16128;Defect;list_node.scm_commit_pattern_entity_type.defect
16132;Success;list_node.pipeline_run_status.success
25110;Environment â Network;list_node.bfc.environment_network
16002;Low;list_node.severity.low
16008;XS;list_node.tShirtSizeEstimation.xs
16014;Low;list_node.priority.low
16020;Architecture;list_node.feature_type.Architecture
16023;Architecture;list_node.epic_type.Architecture
16026;Pre-release;list_node.defect_type.PreRelease
16029;1;list_node.wsjf_scale_type.1
16039;Service Anywhere;list_node.item_origin.service_anywhere
16044;Test Authoring;list_node.quality_story_type.test_authoring
16046;Definition;list_node.defect_root_level.definition
16053;JUnit;list_node.je.framework.junit
16062;Integration Test;list_node.test_level.integration
16066;Acceptance;list_node.test_type.acceptance
16073;Manual Runner;list_node.testing_tool_type.manual
16083;Failed;list_node.run_status.failed
16089;Failed;list_node.run_native_status.failed
16096;Normal;list_node.manual_test_run_step_type.normal
16101;Compile;list_node.pipeline_classification.compile
16106;Default;list_node.team.default
16109;Kanban;list_node.release_agile_type.kanban
16112;Ready for automation;list_node.automation_status.ready_for_automation
16117;Develop;list_node.task_item_type.develop
16123;Oscillating;list_node.run_problem.oscillating
16129;User story;list_node.scm_commit_pattern_entity_type.user_story
16133;Failure;list_node.pipeline_run_status.failure
25111;Environment â Disk;list_node.bfc.environment_disk
16003;Medium;list_node.severity.medium
16009;S;list_node.tShirtSizeEstimation.s
16015;Medium;list_node.priority.medium
16021;Business;list_node.feature_type.Business
16024;Business;list_node.epic_type.Business
16027;Escaped;list_node.defect_type.Escaped
16030;2;list_node.wsjf_scale_type.2
16040;ALM;list_node.item_origin.alm
16047;UX;list_node.defect_root_level.ux
16054;TestNG;list_node.je.framework.testng
16063;System Test;list_node.test_level.system
16067;End to End;list_node.test_type.end_to_end
16074;Selenium;list_node.testing_tool_type.selenium
16085;Skipped;list_node.run_status.skipped
16092;Blocked;list_node.run_native_status.blocked
16097;Feature;list_node.manual_test_run_step_type.feature
16102;Package;list_node.pipeline_classification.package
16113;Automated;list_node.automation_status.automated
16118;Document;list_node.task_item_type.document
16124;Regression;list_node.run_problem.regression
16130;Quality story;list_node.scm_commit_pattern_entity_type.quality_story
16134;Unstable;list_node.pipeline_run_status.unstable
25112;Environment â Permissions;list_node.bfc.environment_permissions
16004;High;list_node.severity.high
16010;M;list_node.tShirtSizeEstimation.m
16016;High;list_node.priority.high
16031;3;list_node.wsjf_scale_type.3
16041;AGM;list_node.item_origin.agm
16048;New_Code;list_node.defect_root_level.new_code
16055;UFT;list_node.je.framework.uft
16064;Unit Test;list_node.test_level.unit
16068;Regression;list_node.test_type.regression
16082;Requires Attention;list_node.run_status.requires_attention
16088;Skipped;list_node.run_native_status.skipped
16098;Scenario;list_node.manual_test_run_step_type.scenario
16103;Deploy;list_node.pipeline_classification.deploy
16114;Requires update;list_node.automation_status.requires_update
16119;Test;list_node.task_item_type.test
16125;Continuously Skipped;list_node.run_problem.continuously_skipped
16135;Running;list_node.pipeline_run_status.running
25113;Environment â DataBase;list_node.bfc.environment_dataBase
16005;Very High;list_node.severity.very_high
16011;L;list_node.tShirtSizeEstimation.l
16017;Very High;list_node.priority.very_high
16042;Jira;list_node.item_origin.jira
16049;Testing;list_node.defect_root_level.testing
16056;NUnit;list_node.je.framework.nunit
16069;Sanity;list_node.test_type.sanity
16075;UFT;list_node.testing_tool_type.uft
16086;Planned;list_node.run_status.planned
16091;Not Completed;list_node.run_native_status.not_completed
16104;Test;list_node.pipeline_classification.test
16120;Requires approval;list_node.automation_status.requires_approval
16126;Slowdown;list_node.run_problem.slowdown
16136;Aborted;list_node.pipeline_run_status.aborted
25114;Environment â Other;list_node.bfc.environment_other
16006;Critical;list_node.severity.urgent
16012;XL;list_node.tShirtSizeEstimation.xl
16018;Urgent;list_node.priority.urgent
16032;5;list_node.wsjf_scale_type.5
16050;Regression;list_node.defect_root_level.regression
16057;JBehave;list_node.je.framework.jbehave
16070;Security;list_node.test_type.security
16093;Planned;list_node.run_native_status.planned
16137;Queued;list_node.pipeline_run_status.queued
18026;Unstable;list_node.run_problem.unstable
25115;Code issue;list_node.bfc.code_issue
16051;Integration;list_node.defect_root_level.integration
16058;Karma;list_node.je.framework.karma
16071;Performance;list_node.test_type.performance
16076;LeanFT;list_node.testing_tool_type.leanft
16138;Unavailable;list_node.pipeline_run_status.unavailable
25116;Test code issue;list_node.bfc.test_code_issue
16059;Jasmine;list_node.je.framework.jasmine
25117;Test stability issue;list_node.bfc.test_stability_issue
16033;8;list_node.wsjf_scale_type.8
16060;Mocha;list_node.je.framework.mocha
16077;StormRunner;list_node.testing_tool_type.storm_runner
16078;SoapUI;list_node.testing_tool_type.soapaui
16079;Protractor;list_node.testing_tool_type.protractor
16080;LoadRunner;list_node.testing_tool_type.loadrunner
16034;13;list_node.wsjf_scale_type.13
16035;21;list_node.wsjf_scale_type.21
16036;40;list_node.wsjf_scale_type.40
16037;100;list_node.wsjf_scale_type.100
16001;Severity;list_node.severity
16007;T shirt size estimation;list_node.tShirtSizeEstimation
16013;Priority;list_node.priority
16019;Feature type;list_node.feature_type
16022;Epic type;list_node.epic_type
16025;Defect type;list_node.defect_type
16028;WSJF scale;list_node.wsjf_scale_type
16038;Item Origin;list_node.item_origin
16043;Quality story type;list_node.quality_story_type
16045;Defect Root Cause;list_node.defect_root_level
16052;Framework;list_node.je.framework
16061;Test_Level;list_node.test_level
16065;Test_Type;list_node.test_type
16072;Testing_Tool_Type;list_node.testing_tool_type
16081;Run_Status;list_node.run_status
16087;Run_Native_Status;list_node.run_native_status
16094;Manual Test Run Step Type;list_node.manual_test_run_step_type
16099;Classification;list_node.pipeline_classification
16105;Team;list_node.team
16107;Agile Type;list_node.release_agile_type
16110;automation_status;list_node.automation_status
16115;Task Item Type;list_node.task_item_type
16121;Problem;list_node.run_problem
16127;Entity type;list_node.scm_commit_pattern_entity_type
16131;Status;list_node.pipeline_run_status
25109;Build Classification;list_node.bfc
