ID; Name; Logical_Name
28085;Passed;list_node.run_status.passed
28091;Passed;list_node.run_native_status.passed
28096;Validate;list_node.manual_test_run_step_type.validate
28101;None;list_node.pipeline_classification.none
28109;Scrum;list_node.release_agile_type.scrum
28112;Not automated;list_node.automation_status.not_automated
28117;Research;list_node.task_item_type.research
28123;Continuously Failing;list_node.run_problem.continuously_failing
28130;Defect;list_node.scm_commit_pattern_entity_type.defect
28134;Success;list_node.pipeline_run_status.success
28143;Environment â Network;list_node.bfc.environment_network
28003;Low;list_node.severity.low
28009;XS;list_node.tShirtSizeEstimation.xs
28015;Low;list_node.priority.low
28021;Architecture;list_node.feature_type.Architecture
28024;Architecture;list_node.epic_type.Architecture
28027;Pre-release;list_node.defect_type.PreRelease
28030;1;list_node.wsjf_scale_type.1
28040;Service Anywhere;list_node.item_origin.service_anywhere
28045;Test Authoring;list_node.quality_story_type.test_authoring
28047;Definition;list_node.defect_root_level.definition
28054;JUnit;list_node.je.framework.junit
28063;Integration Test;list_node.test_level.integration
28067;Acceptance;list_node.test_type.acceptance
28074;Manual Runner;list_node.testing_tool_type.manual
28084;Failed;list_node.run_status.failed
28090;Failed;list_node.run_native_status.failed
28097;Normal;list_node.manual_test_run_step_type.normal
28102;Compile;list_node.pipeline_classification.compile
28107;Default;list_node.team.default
28110;Kanban;list_node.release_agile_type.kanban
28113;Ready for automation;list_node.automation_status.ready_for_automation
28118;Develop;list_node.task_item_type.develop
28124;Oscillating;list_node.run_problem.oscillating
28131;User story;list_node.scm_commit_pattern_entity_type.user_story
28135;Failure;list_node.pipeline_run_status.failure
28142;Environment â Disk;list_node.bfc.environment_disk
28004;Medium;list_node.severity.medium
28010;S;list_node.tShirtSizeEstimation.s
28016;Medium;list_node.priority.medium
28022;Business;list_node.feature_type.Business
28025;Business;list_node.epic_type.Business
28028;Escaped;list_node.defect_type.Escaped
28031;2;list_node.wsjf_scale_type.2
28041;ALM;list_node.item_origin.alm
28048;UX;list_node.defect_root_level.ux
28055;TestNG;list_node.je.framework.testng
28064;System Test;list_node.test_level.system
28068;End to End;list_node.test_type.end_to_end
28075;Selenium;list_node.testing_tool_type.selenium
28086;Skipped;list_node.run_status.skipped
28093;Blocked;list_node.run_native_status.blocked
